Date,Napa,Solano,Sonoma,Marin,Contra Costa,Alameda,San Mateo,San Francisco,Santa Clara
03/02/2020,0,1,0,0,0,0,0,0,9
03/03/2020,0,1,0,0,1,1,0,0,11
03/04/2020,2,8,2,1,4,2,2,0,14
03/05/2020,2,8,3,1,4,2,2,2,20
03/06/2020,0,8,3,1,7,2,2,2,24
03/07/2020,0,8,3,1,7,3,2,8,32
03/08/2020,0,8,3,1,7,3,2,8,37
03/09/2020,0,3,3,1,9,2,9,13,43
03/10/2020,0,6,3,1,10,3,9,14,45
03/11/2020,0,6,3,3,10,3,15,14,48
03/12/2020,0,6,3,3,10,3,15,18,48
03/13/2020,0,6,3,3,25,11,20,23,79
03/14/2020,0,6,3,3,25,11,20,28,91
03/15/2020,0,6,4,5,25,11,20,37,114
03/16/2020,0,9,5,9,29,21,42,40,138
03/17/2020,0,9,6,15,39,27,64,43,155
03/18/2020,0,9,8,15,41,31,80,51,175
03/19/2020,0,10,8,25,42,35,89,70,189
03/20/2020,0,13,11,38,46,45,100,76,196
03/21/2020,0,14,23,38,51,71,110,84,263
03/22/2020,2,14,27,38,61,106,117,108,302
03/23/2020,2,21,29,47,71,122,142,131,321
03/24/2020,3,21,34,53,86,135,161,152,375
03/25/2020,5,24,35,60,108,135,165,178,459
3/26/2020,6,31,39,60,131,178,195,223,542
3/27/2020,8,34,43,65,147,220,239,279,574
3/28/2020,9,34,54,68,151,256,274,308,591
3/29/2020,10,34,54,74,175,270,277,340,646
3/30/2020,14,43,58,93,187,283,309,374,848
3/31/2020,15,49,73,99,212,313,309,397,890
4/1/2020,18,54,85,107,250,359,388,434,956
4/2/2020,18,61,91,108,276,396,453,450,1019
4/3/2020,20,73,95,118,307,443,486,497,1094
