Date,County,Subregions,COVID-19 Cases
3/2/20,Napa,North Bay,0
3/3/20,Napa,North Bay,0
3/4/20,Napa,North Bay,2
3/5/20,Napa,North Bay,2
3/6/20,Napa,North Bay,0
3/7/20,Napa,North Bay,0
3/8/20,Napa,North Bay,0
3/9/20,Napa,North Bay,0
3/10/20,Napa,North Bay,0
3/11/20,Napa,North Bay,0
3/12/20,Napa,North Bay,0
3/13/20,Napa,North Bay,0
3/14/20,Napa,North Bay,0
3/15/20,Napa,North Bay,0
3/16/20,Napa,North Bay,0
3/17/20,Napa,North Bay,0
3/18/20,Napa,North Bay,0
3/19/20,Napa,North Bay,0
3/20/20,Napa,North Bay,0
3/21/20,Napa,North Bay,0
3/22/20,Napa,North Bay,2
3/23/20,Napa,North Bay,2
3/24/20,Napa,North Bay,3
3/25/20,Napa,North Bay,5
3/26/20,Napa,North Bay,6
3/27/20,Napa,North Bay,8
3/28/20,Napa,North Bay,9
3/29/20,Napa,North Bay,10
3/30/20,Napa,North Bay,14
3/31/20,Napa,North Bay,15
4/1/20,Napa,North Bay,18
4/2/20,Napa,North Bay,18
4/3/20,Napa,North Bay,20
3/2/20,Solano,North Bay,1
3/3/20,Solano,North Bay,1
3/4/20,Solano,North Bay,8
3/5/20,Solano,North Bay,8
3/6/20,Solano,North Bay,8
3/7/20,Solano,North Bay,8
3/8/20,Solano,North Bay,8
3/9/20,Solano,North Bay,3
3/10/20,Solano,North Bay,6
3/11/20,Solano,North Bay,6
3/12/20,Solano,North Bay,6
3/13/20,Solano,North Bay,6
3/14/20,Solano,North Bay,6
3/15/20,Solano,North Bay,6
3/16/20,Solano,North Bay,9
3/17/20,Solano,North Bay,9
3/18/20,Solano,North Bay,9
3/19/20,Solano,North Bay,10
3/20/20,Solano,North Bay,13
3/21/20,Solano,North Bay,14
3/22/20,Solano,North Bay,14
3/23/20,Solano,North Bay,21
3/24/20,Solano,North Bay,21
3/25/20,Solano,North Bay,24
3/26/20,Solano,North Bay,31
3/27/20,Solano,North Bay,34
3/28/20,Solano,North Bay,34
3/29/20,Solano,North Bay,34
3/30/20,Solano,North Bay,43
3/31/20,Solano,North Bay,49
4/1/20,Solano,North Bay,54
4/2/20,Solano,North Bay,61
4/3/20,Solano,North Bay,73
3/2/20,Sonoma,North Bay,0
3/3/20,Sonoma,North Bay,0
3/4/20,Sonoma,North Bay,2
3/5/20,Sonoma,North Bay,3
3/6/20,Sonoma,North Bay,3
3/7/20,Sonoma,North Bay,3
3/8/20,Sonoma,North Bay,3
3/9/20,Sonoma,North Bay,3
3/10/20,Sonoma,North Bay,3
3/11/20,Sonoma,North Bay,3
3/12/20,Sonoma,North Bay,3
3/13/20,Sonoma,North Bay,3
3/14/20,Sonoma,North Bay,3
3/15/20,Sonoma,North Bay,4
3/16/20,Sonoma,North Bay,5
3/17/20,Sonoma,North Bay,6
3/18/20,Sonoma,North Bay,8
3/19/20,Sonoma,North Bay,8
3/20/20,Sonoma,North Bay,11
3/21/20,Sonoma,North Bay,23
3/22/20,Sonoma,North Bay,27
3/23/20,Sonoma,North Bay,29
3/24/20,Sonoma,North Bay,34
3/25/20,Sonoma,North Bay,35
3/26/20,Sonoma,North Bay,39
3/27/20,Sonoma,North Bay,43
3/28/20,Sonoma,North Bay,54
3/29/20,Sonoma,North Bay,54
3/30/20,Sonoma,North Bay,58
3/31/20,Sonoma,North Bay,73
4/1/20,Sonoma,North Bay,85
4/2/20,Sonoma,North Bay,91
4/3/20,Sonoma,North Bay,95
3/2/20,Marin,North Bay,0
3/3/20,Marin,North Bay,0
3/4/20,Marin,North Bay,1
3/5/20,Marin,North Bay,1
3/6/20,Marin,North Bay,1
3/7/20,Marin,North Bay,1
3/8/20,Marin,North Bay,1
3/9/20,Marin,North Bay,1
3/10/20,Marin,North Bay,1
3/11/20,Marin,North Bay,3
3/12/20,Marin,North Bay,3
3/13/20,Marin,North Bay,3
3/14/20,Marin,North Bay,3
3/15/20,Marin,North Bay,5
3/16/20,Marin,North Bay,9
3/17/20,Marin,North Bay,15
3/18/20,Marin,North Bay,15
3/19/20,Marin,North Bay,25
3/20/20,Marin,North Bay,38
3/21/20,Marin,North Bay,38
3/22/20,Marin,North Bay,38
3/23/20,Marin,North Bay,47
3/24/20,Marin,North Bay,53
3/25/20,Marin,North Bay,60
3/26/20,Marin,North Bay,60
3/27/20,Marin,North Bay,65
3/28/20,Marin,North Bay,68
3/29/20,Marin,North Bay,74
3/30/20,Marin,North Bay,93
3/31/20,Marin,North Bay,99
4/1/20,Marin,North Bay,107
4/2/20,Marin,North Bay,108
4/3/20,Marin,North Bay,118
3/2/20,Contra Costa,East Bay,0
3/3/20,Contra Costa,East Bay,1
3/4/20,Contra Costa,East Bay,4
3/5/20,Contra Costa,East Bay,4
3/6/20,Contra Costa,East Bay,7
3/7/20,Contra Costa,East Bay,7
3/8/20,Contra Costa,East Bay,7
3/9/20,Contra Costa,East Bay,9
3/10/20,Contra Costa,East Bay,10
