name,group,year,value
Napa,North Bay,2,0
Solano,North Bay,2,1
Sonoma,North Bay,2,0
Marin,North Bay,2,0
Contra Costa,East Bay,2,0
Alameda,East Bay,2,0
San Mateo,Peninsula,2,0
San Francisco,San Francisco,2,0
Santa Clara,South Bay,2,9
Napa,North Bay,3,0
Solano,North Bay,3,1
Sonoma,North Bay,3,0
Marin,North Bay,3,0
Contra Costa,East Bay,3,1
Alameda,East Bay,3,1
San Mateo,Peninsula,3,0
San Francisco,San Francisco,3,0
Santa Clara,South Bay,3,11
Napa,North Bay,4,2
Solano,North Bay,4,8
Sonoma,North Bay,4,2
Marin,North Bay,4,1
Contra Costa,East Bay,4,4
Alameda,East Bay,4,2
San Mateo,Peninsula,4,2
San Francisco,San Francisco,4,0
Santa Clara,South Bay,4,14
Napa,North Bay,5,2
Solano,North Bay,5,8
Sonoma,North Bay,5,3
Marin,North Bay,5,1
Contra Costa,East Bay,5,4
Alameda,East Bay,5,2
San Mateo,Peninsula,5,2
San Francisco,San Francisco,5,2
Santa Clara,South Bay,5,20
Napa,North Bay,6,0
Solano,North Bay,6,8
Sonoma,North Bay,6,3
Marin,North Bay,6,1
Contra Costa,East Bay,6,7
Alameda,East Bay,6,2
San Mateo,Peninsula,6,2
San Francisco,San Francisco,6,2
Santa Clara,South Bay,6,24
Napa,North Bay,7,0
Solano,North Bay,7,8
Sonoma,North Bay,7,3
Marin,North Bay,7,1
Contra Costa,East Bay,7,7
Alameda,East Bay,7,3
San Mateo,Peninsula,7,2
San Francisco,San Francisco,7,8
Santa Clara,South Bay,7,32
Napa,North Bay,8,0
Solano,North Bay,8,8
Sonoma,North Bay,8,3
Marin,North Bay,8,1
Contra Costa,East Bay,8,7
Alameda,East Bay,8,3
San Mateo,Peninsula,8,2
San Francisco,San Francisco,8,8
Santa Clara,South Bay,8,37
Napa,North Bay,9,0
Solano,North Bay,9,3
Sonoma,North Bay,9,3
Marin,North Bay,9,1
Contra Costa,East Bay,9,9
Alameda,East Bay,9,2
San Mateo,Peninsula,9,9
San Francisco,San Francisco,9,13
Santa Clara,South Bay,9,43
Napa,North Bay,10,0
Solano,North Bay,10,6
Sonoma,North Bay,10,3
Marin,North Bay,10,1
Contra Costa,East Bay,10,10
Alameda,East Bay,10,3
San Mateo,Peninsula,10,9
San Francisco,San Francisco,10,14
Santa Clara,South Bay,10,45
Napa,North Bay,11,0
Solano,North Bay,11,6
Sonoma,North Bay,11,3
Marin,North Bay,11,3
Contra Costa,East Bay,11,10
Alameda,East Bay,11,3
San Mateo,Peninsula,11,15
San Francisco,San Francisco,11,14
Santa Clara,South Bay,11,48
Napa,North Bay,12,0
Solano,North Bay,12,6
Sonoma,North Bay,12,3
Marin,North Bay,12,3
Contra Costa,East Bay,12,10
Alameda,East Bay,12,3
San Mateo,Peninsula,12,15
San Francisco,San Francisco,12,18
Santa Clara,South Bay,12,48
Napa,North Bay,13,0
Solano,North Bay,13,6
Sonoma,North Bay,13,3
Marin,North Bay,13,3
Contra Costa,East Bay,13,25
Alameda,East Bay,13,11
San Mateo,Peninsula,13,20
San Francisco,San Francisco,13,23
Santa Clara,South Bay,13,79
Napa,North Bay,14,0
Solano,North Bay,14,6
Sonoma,North Bay,14,3
Marin,North Bay,14,3
Contra Costa,East Bay,14,25
Alameda,East Bay,14,11
San Mateo,Peninsula,14,20
San Francisco,San Francisco,14,28
Santa Clara,South Bay,14,91
Napa,North Bay,15,0
Solano,North Bay,15,6
Sonoma,North Bay,15,4
Marin,North Bay,15,5
Contra Costa,East Bay,15,25
Alameda,East Bay,15,11
San Mateo,Peninsula,15,20
San Francisco,San Francisco,15,37
Santa Clara,South Bay,15,114
Napa,North Bay,16,0
Solano,North Bay,16,9
Sonoma,North Bay,16,5
Marin,North Bay,16,9
Contra Costa,East Bay,16,29
Alameda,East Bay,16,21
San Mateo,Peninsula,16,42
San Francisco,San Francisco,16,40
Santa Clara,South Bay,16,138
Napa,North Bay,17,0
Solano,North Bay,17,9
Sonoma,North Bay,17,6
Marin,North Bay,17,15
Contra Costa,East Bay,17,39
Alameda,East Bay,17,27
San Mateo,Peninsula,17,64
San Francisco,San Francisco,17,43
Santa Clara,South Bay,17,155
Napa,North Bay,18,0
Solano,North Bay,18,9
Sonoma,North Bay,18,8
Marin,North Bay,18,15
Contra Costa,East Bay,18,41
Alameda,East Bay,18,31
San Mateo,Peninsula,18,80
San Francisco,San Francisco,18,51
Santa Clara,South Bay,18,175
Napa,North Bay,19,0
Solano,North Bay,19,10
Sonoma,North Bay,19,8
Marin,North Bay,19,25
Contra Costa,East Bay,19,42
Alameda,East Bay,19,35
San Mateo,Peninsula,19,89
San Francisco,San Francisco,19,70
Santa Clara,South Bay,19,189
Napa,North Bay,20,0
Solano,North Bay,20,13
Sonoma,North Bay,20,11
Marin,North Bay,20,38
Contra Costa,East Bay,20,46
Alameda,East Bay,20,45
San Mateo,Peninsula,20,100
San Francisco,San Francisco,20,76
Santa Clara,South Bay,20,196
Napa,North Bay,21,0
Solano,North Bay,21,14
Sonoma,North Bay,21,23
Marin,North Bay,21,38
Contra Costa,East Bay,21,51
Alameda,East Bay,21,71
San Mateo,Peninsula,21,110
San Francisco,San Francisco,21,84
Santa Clara,South Bay,21,263
Napa,North Bay,,2
Solano,North Bay,22,14
Sonoma,North Bay,22,27
Marin,North Bay,22,38
Contra Costa,East Bay,22,61
Alameda,East Bay,22,106
San Mateo,Peninsula,22,117
San Francisco,San Francisco,22,108
Santa Clara,South Bay,22,302
Napa,North Bay,22,2
Solano,North Bay,23,21
Sonoma,North Bay,23,29
Marin,North Bay,23,47
Contra Costa,East Bay,23,71
Alameda,East Bay,23,122
San Mateo,Peninsula,23,142
San Francisco,San Francisco,23,131
Santa Clara,South Bay,23,321
Napa,North Bay,24,3
Solano,North Bay,24,21
Sonoma,North Bay,24,34
Marin,North Bay,24,53
Contra Costa,East Bay,24,86
Alameda,East Bay,24,135
San Mateo,Peninsula,24,161
San Francisco,San Francisco,24,152
Santa Clara,South Bay,24,375
Napa,North Bay,25,5
Solano,North Bay,25,24
Sonoma,North Bay,25,35
Marin,North Bay,25,60
Contra Costa,East Bay,25,108
Alameda,East Bay,25,135
San Mateo,Peninsula,25,165
San Francisco,San Francisco,25,178
Santa Clara,South Bay,25,459
Napa,North Bay,26,6
Solano,North Bay,26,31
Sonoma,North Bay,26,39
Marin,North Bay,26,60
Contra Costa,East Bay,26,131
Alameda,East Bay,26,178
San Mateo,Peninsula,26,195
San Francisco,San Francisco,26,223
Santa Clara,South Bay,26,542
Napa,North Bay,27,8
Solano,North Bay,27,34
Sonoma,North Bay,27,43
